SMPLID	Mophological.cluster.G4_0	Mophological.cluster.G4_1	Mophological.cluster.G4_2	Mophological.cluster.G4_3	Mophological.cluster.G4_4	Mophological.cluster.G4_5	Mophological.cluster.G4_6	Mophological.cluster.G4_7	Mophological.cluster.G4_8	Mophological.cluster.G4_9	Mophological.cluster.G4_10	Mophological.cluster.G4_11	Mophological.cluster.G4_12	Mophological.cluster.G4_13	Mophological.cluster.G4_14	Mophological.cluster.G4_15	Mophological.cluster.G4_16	Mophological.cluster.G4_17	Mophological.cluster.G4_18	Mophological.cluster.G4_19	Mophological.cluster.G4_20	Mophological.cluster.G4_21	Mophological.cluster.G4_22	Mophological.cluster.G4_23	Mophological.cluster.G4_24	Mophological.cluster.G4_25	Mophological.cluster.G4_26	Mophological.cluster.G4_27	Mophological.cluster.G4_28	Mophological.cluster.G4_29	Mophological.cluster.G4_30	Mophological.cluster.G4_31
GTEX.1IDJU.0726	70	4	6	98	731	0	670	133	214	2	275	89	53	5	588	1	110	65	0	9	1522	120	30	3506	0	845	1	69	6	325	101	1582
GTEX.1IKJJ.0826	708	48	431	844	397	412	36	18	292	1202	0	357	3	52	177	953	790	72	0	172	790	813	182	44	414	24	90	363	409	95	104	21
GTEX.1IKK5.1526	959	15	4312	6	93	378	0	76	58	1	21	109	11	268	867	2	121	56	0	83	8	1354	79	32	1108	0	2422	1	14	119	8	1175
GTEX.1IKOE.1026	0	1128	0	140	131	11	502	37	472	25	4	24	4	165	15	289	20	28	0	396	765	0	102	203	0	879	0	1077	112	383	526	0
GTEX.1IL2U.1326	173	154	1044	69	179	39	20	3	252	2	26	233	0	959	229	4	259	59	0	146	66	1304	320	184	47	197	838	48	82	72	397	189
GTEX.1J8EW.0926	1	927	0	560	107	255	182	161	514	100	45	129	35	829	116	761	78	68	0	392	437	77	912	524	1	840	80	428	31	78	679	10
GTEX.1J8Q2.1226	1198	470	2383	135	236	198	4	54	120	410	3	125	52	571	90	334	430	36	0	135	28	1396	169	23	693	30	172	118	1152	89	140	28
GTEX.1J8Q3.1226	1	8	0	77	173	0	679	49	312	0	1364	66	18	2	253	7	0	111	0	11	1074	0	15	700	0	808	1	1676	0	96	297	2673
GTEX.1J8QM.0426	2	98	0	84	105	6	4221	84	425	177	1056	163	29	4	638	63	14	162	0	132	2021	3	1	432	0	165	10	34	62	194	30	185
GTEX.1JJ6O.2126	7	1725	1	951	226	310	11	90	190	112	13	113	27	559	47	2137	161	89	0	346	104	89	777	88	36	60	133	109	428	178	505	4
GTEX.1JJE9.1426	77	234	59	1985	722	18	0	237	94	13	1	149	329	190	78	1550	551	432	0	37	99	472	1625	32	3	4	11	30	380	406	1535	1
GTEX.1JJEA.0826	235	92	1258	113	136	364	21	123	102	72	4	427	42	157	773	52	250	175	0	118	77	1454	725	122	212	5	1720	24	19	154	158	226
GTEX.1JK1U.0526	6	3	3	12	47	5	179	85	256	3	845	70	4	16	255	2	21	37	0	35	338	21	27	1996	3	1761	8	144	0	42	284	2048
GTEX.1JMLX.1626	1728	0	4782	14	149	68	28	6	25	18	4	143	2	19	592	3	234	85	0	33	116	808	147	97	686	0	403	5	0	283	0	140
GTEX.1JMOU.0226	308	230	129	689	606	1408	23	118	133	438	1	205	48	189	400	591	1021	39	0	323	393	486	725	58	320	6	474	15	211	253	67	32
GTEX.1JMPZ.1426	248	94	106	677	776	265	22	6	270	102	13	214	0	12	1040	581	453	637	0	308	293	270	248	39	7	71	32	129	29	1100	263	91
GTEX.1JMQK.0626	538	7	830	826	418	74	55	14	133	443	1	96	3	53	577	173	887	31	0	51	1355	1242	1446	374	92	4	55	222	5	159	35	549
GTEX.1JN1M.1026	120	21	45	727	392	457	77	5	119	729	9	94	0	56	79	1069	804	4	0	140	150	360	658	38	93	0	136	19	56	124	31	19
GTEX.1JN6P.1126	58	1351	3	831	328	311	9	296	287	698	1	80	46	1063	60	1927	503	57	0	568	113	159	583	11	40	18	42	298	956	144	867	0
GTEX.1K9T9.1126	8	231	0	1277	292	240	13	35	184	488	2	437	10	52	50	288	552	71	0	278	317	71	557	52	6	7	18	7	675	138	81	2
GTEX.1KANC.0426	0	30	0	17	25	0	0	59	326	0	2	1	33	21	19	0	0	68	0	6	51	1	2	101	0	3818	0	335	1	156	721	6
GTEX.1KD4Q.0726	51	326	28	605	343	519	47	95	170	2174	1	289	27	635	111	1003	795	86	0	406	206	389	1532	51	53	5	174	73	345	117	456	0
GTEX.1KD5A.1026	59	457	11	2163	577	289	44	250	216	257	4	342	40	152	52	3653	612	341	0	240	133	261	979	13	92	58	40	76	314	260	505	3
